Date,"Total, all causes of death",Malignant neoplasms,Diseases of heart,Cerebrovascular diseases,Chronic lower respiratory diseases,Accidents (unintentional injuries),COVID-19,Information unavailable
2010-01-09,1905,500,380,120,80,95,0,0
2010-01-16,1860,495,365,115,85,95,0,0
2010-01-23,1840,545,360,115,65,80,0,0
2010-01-30,1705,500,355,105,70,80,0,0
2010-02-06,1720,490,340,105,60,70,0,0
2010-02-13,1810,510,400,100,70,75,0,0
2010-02-20,1780,510,355,90,80,100,0,0
2010-02-27,1800,500,380,120,65,80,0,0
2010-03-06,1805,505,385,120,75,80,0,0
2010-03-13,1775,530,325,115,80,70,0,0
2010-03-20,1730,480,355,110,80,65,0,0
2010-03-27,1800,540,365,100,85,80,0,0
2010-04-03,1750,515,380,95,85,80,0,0
2010-04-10,1650,500,300,115,80,80,0,0
2010-04-17,1715,500,350,110,85,80,0,0
2010-04-24,1715,535,345,105,80,65,0,0
2010-05-01,1710,515,340,95,75,80,0,0
2010-05-08,1650,490,330,110,80,70,0,0
2010-05-15,1670,490,340,90,70,80,0,0
2010-05-22,1640,480,360,115,75,75,0,0
2010-05-29,1660,480,345,90,65,100,0,0
2010-06-05,1565,490,325,85,65,65,0,0
2010-06-12,1585,485,325,100,55,85,0,0
2010-06-19,1570,510,315,95,55,85,0,0
2010-06-26,1540,500,300,85,55,80,0,0
2010-07-03,1575,500,285,95,60,100,0,0
2010-07-10,1670,505,315,85,70,105,0,0
2010-07-17,1585,480,320,85,65,110,0,0
2010-07-24,1575,485,340,100,60,80,0,0
2010-07-31,1550,490,325,90,65,80,0,0
2010-08-07,1520,460,320,75,65,70,0,0
2010-08-14,1645,495,330,100,70,90,0,0
2010-08-21,1660,540,325,95,60,80,0,0
2010-08-28,1635,525,330,110,60,80,0,0
2010-09-04,1615,495,300,85,55,90,0,0
2010-09-11,1620,515,320,105,50,65,0,0
2010-09-18,1715,525,350,105,75,80,0,0
2010-09-25,1800,540,365,110,50,95,0,0
2010-10-02,1625,510,310,100,65,75,0,0
2010-10-09,1805,570,355,100,75,95,0,0
2010-10-16,1730,505,355,115,80,100,0,0
2010-10-23,1765,550,345,105,65,75,0,0
2010-10-30,1795,545,360,95,75,75,0,0
2010-11-06,1725,480,360,110,70,70,0,0
2010-11-13,1750,525,350,105,80,85,0,0
2010-11-20,1705,510,320,90,75,95,0,0
2010-11-27,1785,530,350,105,60,75,0,0
2010-12-04,1770,570,310,95,75,75,0,0
2010-12-11,1825,550,365,95,80,85,0,0
2010-12-18,1825,515,385,130,60,80,0,0
2010-12-25,1975,530,415,105,85,95,0,0
2011-01-01,1955,525,410,110,105,85,0,0
2011-01-08,2055,540,435,110,120,85,0,0
2011-01-15,1905,545,380,125,95,80,0,0
2011-01-22,1965,555,405,120,95,80,0,0
2011-01-29,1860,515,380,100,75,90,0,0
2011-02-05,1890,535,380,80,95,100,0,0
2011-02-12,1890,515,380,115,80,90,0,0
2011-02-19,1910,565,370,105,90,85,0,0
2011-02-26,1870,575,385,105,75,85,0,0
2011-03-05,1820,505,365,110,80,80,0,0
2011-03-12,1870,495,380,135,110,95,0,0
2011-03-19,1845,560,355,110,85,75,0,0
2011-03-26,1745,495,335,75,80,85,0,0
2011-04-02,1895,550,390,105,90,90,0,0
2011-04-09,1760,525,365,85,75,80,0,0
2011-04-16,1700,465,340,100,85,60,0,0
2011-04-23,1710,545,345,90,70,55,0,0
2011-04-30,1780,540,355,95,90,65,0,0
2011-05-07,1715,480,365,105,80,70,0,0
2011-05-14,1805,555,315,100,80,80,0,0
2011-05-21,1710,550,305,100,95,80,0,0
2011-05-28,1660,490,350,100,85,75,0,0
2011-06-04,1635,500,340,85,60,65,0,0
2011-06-11,1640,530,325,85,65,85,0,0
2011-06-18,1640,525,330,90,50,90,0,0
2011-06-25,1585,505,300,80,75,65,0,0
2011-07-02,1520,485,295,90,65,85,0,0
2011-07-09,1645,525,320,75,70,80,0,0
2011-07-16,1575,470,325,85,50,80,0,0
2011-07-23,1625,490,330,90,75,95,0,0
2011-07-30,1635,470,330,95,70,100,0,0
2011-08-06,1600,500,310,80,55,90,0,0
2011-08-13,1510,455,295,85,55,95,0,0
2011-08-20,1625,495,330,90,60,95,0,0
2011-08-27,1605,510,320,90,45,85,0,0
2011-09-03,1650,520,320,100,65,90,0,0
2011-09-10,1585,505,305,65,55,70,0,0
2011-09-17,1550,480,320,80,55,70,0,0
2011-09-24,1715,580,315,80,50,75,0,0
2011-10-01,1595,510,330,75,70,90,0,0
2011-10-08,1685,535,305,90,70,80,0,0
2011-10-15,1695,560,305,75,70,70,0,0
2011-10-22,1785,550,360,100,60,80,0,0
2011-10-29,1690,520,350,90,55,70,0,0
2011-11-05,1745,545,340,115,60,70,0,0
2011-11-12,1720,485,345,100,80,75,0,0
2011-11-19,1735,505,330,105,75,75,0,0
2011-11-26,1785,550,335,95,85,90,0,0
2011-12-03,1725,515,335,105,65,80,0,0
2011-12-10,1660,520,320,90,80,70,0,0
2011-12-17,1730,515,310,105,60,90,0,0
2011-12-24,1745,510,335,95,70,95,0,0
2011-12-31,1825,540,375,115,75,85,0,0
2012-01-07,1820,485,405,110,90,85,0,0
2012-01-14,1810,520,355,105,65,100,0,0
2012-01-21,1865,535,345,110,80,75,0,0
2012-01-28,1885,580,345,110,75,95,0,0
2012-02-04,1735,495,325,65,75,85,0,0
2012-02-11,1830,530,370,90,75,90,0,0
2012-02-18,1765,515,345,90,90,80,0,0
2012-02-25,1780,540,360,95,85,65,0,0
2012-03-03,1775,555,330,95,95,75,0,0
2012-03-10,1735,480,355,105,90,70,0,0
2012-03-17,1780,475,385,90,65,85,0,0
2012-03-24,1810,510,345,100,75,80,0,0
2012-03-31,1725,515,355,110,85,85,0,0
2012-04-07,1715,535,335,90,75,75,0,0
2012-04-14,1770,535,340,100,70,95,0,0
2012-04-21,1775,520,355,85,70,90,0,0
2012-04-28,1730,545,325,80,80,75,0,0
2012-05-05,1760,545,350,90,80,85,0,0
2012-05-12,1660,510,320,90,55,80,0,0
2012-05-19,1735,525,340,85,85,90,0,0
2012-05-26,1765,540,335,85,75,95,0,0
2012-06-02,1590,495,330,95,55,75,0,0
2012-06-09,1570,505,305,95,70,65,0,0
2012-06-16,1600,490,345,90,70,75,0,0
2012-06-23,1615,525,330,80,65,80,0,0
2012-06-30,1625,480,315,100,65,95,0,0
2012-07-07,1620,495,335,85,60,100,0,0
2012-07-14,1610,515,315,85,60,110,0,0
2012-07-21,1640,510,325,85,70,100,0,0
2012-07-28,1555,525,285,80,60,60,0,0
2012-08-04,1655,535,315,100,55,95,0,0
2012-08-11,1655,525,320,95,70,85,0,0
2012-08-18,1620,555,305,80,65,90,0,0
2012-08-25,1635,535,310,80,70,75,0,0
2012-09-01,1670,510,345,90,55,85,0,0
2012-09-08,1570,480,300,90,55,85,0,0
2012-09-15,1650,540,300,85,70,100,0,0
2012-09-22,1605,515,330,90,60,75,0,0
2012-09-29,1745,545,355,115,70,70,0,0
2012-10-06,1765,560,355,100,65,95,0,0
2012-10-13,1710,500,335,95,90,95,0,0
2012-10-20,1795,555,345,105,75,85,0,0
2012-10-27,1760,545,330,90,65,95,0,0
2012-11-03,1730,530,355,90,70,90,0,0
2012-11-10,1785,530,365,105,60,80,0,0
2012-11-17,1775,540,345,85,75,95,0,0
2012-11-24,1790,550,330,100,85,90,0,0
2012-12-01,1850,545,360,90,80,85,0,0
2012-12-08,1875,555,405,95,80,75,0,0
2012-12-15,1840,520,390,110,65,105,0,0
2012-12-22,2110,590,435,130,90,105,0,0
2012-12-29,2085,550,430,100,95,90,0,0
2013-01-05,2200,515,455,110,135,90,0,0
2013-01-12,2185,500,405,120,130,100,0,0
2013-01-19,2085,525,365,100,125,85,0,0
2013-01-26,2065,540,400,105,105,110,0,0
2013-02-02,1985,560,395,105,85,105,0,0
2013-02-09,1910,525,445,100,85,85,0,0
2013-02-16,1985,550,415,90,95,95,0,0
2013-02-23,1895,525,395,110,85,95,0,0
2013-03-02,1820,525,335,95,95,95,0,0
2013-03-09,1840,545,345,100,90,85,0,0
2013-03-16,1785,530,345,105,70,80,0,0
2013-03-23,1895,520,385,110,85,85,0,0
2013-03-30,1830,515,375,100,90,95,0,0
2013-04-06,1830,520,360,100,85,80,0,0
2013-04-13,1805,545,375,95,95,90,0,0
2013-04-20,1775,540,365,100,90,80,0,0
2013-04-27,1760,560,335,85,85,80,0,0
2013-05-04,1785,510,355,105,75,70,0,0
2013-05-11,1805,510,395,105,85,95,0,0
2013-05-18,1605,480,315,85,60,95,0,0
2013-05-25,1680,520,310,100,85,85,0,0
2013-06-01,1710,520,360,85,70,75,0,0
2013-06-08,1725,575,350,95,60,90,0,0
2013-06-15,1600,500,335,80,55,85,0,0
2013-06-22,1640,550,310,90,70,75,0,0
2013-06-29,1650,510,325,80,65,80,0,0
2013-07-06,1670,520,325,100,70,95,0,0
2013-07-13,1625,475,350,75,65,90,0,0
2013-07-20,1800,555,360,90,65,115,0,0
2013-07-27,1640,535,325,85,65,90,0,0
2013-08-03,1735,580,305,85,70,95,0,0
2013-08-10,1640,530,310,100,60,80,0,0
2013-08-17,1570,495,295,80,60,60,0,0
2013-08-24,1620,455,325,90,50,95,0,0
2013-08-31,1610,550,335,75,50,95,0,0
2013-09-07,1655,520,315,80,65,80,0,0
2013-09-14,1630,525,320,75,65,75,0,0
2013-09-21,1675,515,325,90,70,80,0,0
2013-09-28,1695,545,345,100,60,80,0,0
2013-10-05,1775,550,320,85,80,85,0,0
2013-10-12,1720,540,335,80,85,90,0,0
2013-10-19,1735,530,365,85,70,100,0,0
2013-10-26,1785,530,355,105,75,80,0,0
2013-11-02,1830,560,365,85,70,105,0,0
2013-11-09,1800,540,355,75,70,110,0,0
2013-11-16,1815,565,350,105,70,80,0,0
2013-11-23,1820,515,370,110,60,95,0,0
2013-11-30,1835,545,380,90,80,75,0,0
2013-12-07,1910,560,390,105,80,90,0,0
2013-12-14,1870,515,370,100,80,80,0,0
2013-12-21,1985,550,420,120,75,100,0,0
2013-12-28,1965,520,430,110,75,95,0,0
2014-01-04,1950,515,420,90,80,105,0,0
2014-01-11,2140,545,430,110,100,110,0,0
2014-01-18,1980,500,405,110,95,80,0,0
2014-01-25,1980,550,425,120,85,90,0,0
2014-02-01,1995,565,405,115,80,100,0,0
2014-02-08,1970,580,380,105,80,80,0,0
2014-02-15,1920,540,395,120,60,80,0,0
2014-02-22,1880,565,370,105,90,70,0,0
2014-03-01,1870,540,380,90,75,90,0,0
2014-03-08,1850,545,350,100,90,90,0,0
2014-03-15,1950,515,410,100,100,110,0,0
2014-03-22,1920,510,415,85,80,85,0,0
2014-03-29,1865,535,405,105,80,75,0,0
2014-04-05,1810,510,345,100,75,80,0,0
2014-04-12,1965,550,375,100,105,80,0,0
2014-04-19,1955,570,380,105,80,85,0,0
2014-04-26,1850,510,395,105,70,80,0,0
2014-05-03,1925,520,390,95,75,100,0,0
2014-05-10,1905,510,365,115,105,95,0,0
2014-05-17,1800,550,370,95,80,95,0,0
2014-05-24,1730,510,370,90,70,75,0,0
2014-05-31,1730,535,345,95,75,85,0,0
2014-06-07,1750,540,340,90,75,105,0,0
2014-06-14,1725,560,310,85,65,80,0,0
2014-06-21,1685,505,375,85,65,100,0,0
2014-06-28,1745,560,355,90,70,100,0,0
2014-07-05,1700,510,370,90,70,95,0,0
2014-07-12,1630,530,305,90,65,90,0,0
2014-07-19,1680,525,325,80,75,95,0,0
2014-07-26,1640,475,330,95,60,80,0,0
2014-08-02,1660,515,355,80,60,85,0,0
2014-08-09,1715,550,330,100,45,105,0,0
2014-08-16,1705,535,325,85,70,95,0,0
2014-08-23,1740,545,335,85,70,75,0,0
2014-08-30,1750,555,315,90,70,105,0,0
2014-09-06,1745,560,290,90,70,105,0,0
2014-09-13,1670,520,325,90,60,75,0,0
2014-09-20,1780,530,355,95,70,105,0,0
2014-09-27,1825,550,355,100,60,95,0,0
2014-10-04,1815,540,355,90,60,100,0,0
2014-10-11,1740,545,345,80,75,85,0,0
2014-10-18,1855,530,390,135,75,90,0,0
2014-10-25,1840,570,380,85,90,70,0,0
2014-11-01,1730,530,340,110,65,85,0,0
2014-11-08,1915,545,365,115,75,110,0,0
2014-11-15,1925,560,370,85,70,110,0,0
2014-11-22,1935,540,375,95,80,95,0,0
2014-11-29,1960,555,390,105,70,100,0,0
2014-12-06,1915,590,375,110,75,95,0,0
2014-12-13,1855,510,365,95,105,90,0,0
2014-12-20,2015,555,395,110,95,90,0,0
2014-12-27,2140,575,430,105,100,110,0,0
2015-01-03,2145,540,435,95,100,85,0,0
2015-01-10,2220,525,480,115,120,100,0,0
2015-01-17,2260,585,395,125,130,110,0,0
2015-01-24,2220,570,410,115,115,95,0,0
2015-01-31,2140,555,435,120,105,100,0,0
2015-02-07,2220,580,430,125,105,110,0,0
2015-02-14,2105,555,400,110,80,85,0,0
2015-02-21,2050,540,405,105,100,110,0,0
2015-02-28,2060,540,430,100,90,100,0,0
2015-03-07,2030,525,440,105,90,95,0,0
2015-03-14,1995,535,390,105,80,90,0,0
2015-03-21,1880,505,355,110,95,105,0,0
2015-03-28,1890,515,365,100,105,85,0,0
2015-04-04,1965,550,365,100,80,95,0,0
2015-04-11,1895,555,355,90,100,80,0,0
2015-04-18,1925,530,400,85,85,85,0,0
2015-04-25,1865,530,355,75,105,105,0,0
2015-05-02,1845,515,395,85,105,75,0,0
2015-05-09,1880,525,360,100,90,90,0,0
2015-05-16,1740,530,335,90,70,85,0,0
2015-05-23,1755,550,330,95,75,90,0,0
2015-05-30,1770,530,330,95,75,90,0,0
2015-06-06,1690,485,385,100,60,100,0,0
2015-06-13,1705,510,335,95,75,90,0,0
2015-06-20,1715,545,355,85,50,90,0,0
2015-06-27,1720,545,325,100,65,95,0,0
2015-07-04,1705,510,355,85,85,85,0,0
2015-07-11,1715,515,320,95,80,70,0,0
2015-07-18,1735,545,340,90,75,90,0,0
2015-07-25,1685,550,325,75,70,90,0,0
2015-08-01,1765,560,350,85,65,95,0,0
2015-08-08,1745,510,355,95,70,100,0,0
2015-08-15,1695,530,345,75,50,90,0,0
2015-08-22,1760,590,370,80,75,75,0,0
2015-08-29,1705,540,330,105,60,120,0,0
2015-09-05,1675,515,350,85,55,80,0,0
2015-09-12,1675,550,305,85,60,110,0,0
2015-09-19,1740,530,345,100,65,90,0,0
2015-09-26,1815,575,320,85,70,100,0,0
2015-10-03,1760,565,335,80,90,90,0,0
2015-10-10,1930,575,360,100,80,100,0,0
